Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_CS20_POA50_PVUSA_W,50,,CS20,1,0,PVUSA,W,YOY,,,-0.0084496540521997,0.0046844234203071
CS20_POA500_PRt_W,500,,CS20,0,0,PRt,W,YOY,,,-0.003617661339896,0.0029973308191787
PvsPOA_POA50_PVUSA_W,50,,,1,0,PVUSA,W,YOY,,,-0.0146880850316379,0.0070223983407341
PvsPOA_POA500_huld_W,500,,,1,0,huld,W,YOY,,,-0.0052178484410288,0.0030699573115839
POA200_PR_W,200,,,0,0,PR,W,YOY,,,-0.0090130151442761,0.0132549066106585
PvsPOA_CS20_POA20_huld_W,20,,CS20,1,0,huld,W,YOY,,,-0.0075459130851406,0.003909369443626
PvsPOA_POA200_huld_W,200,,,1,0,huld,W,YOY,,,-0.0105764345338723,0.0061338159915893
POA500_huld_W,500,,,0,0,huld,W,YOY,,,-0.0032659344917359,0.0046695873261783
CS20_POA800_PI_W,800,,CS20,0,0,PI,W,YOY,,,0.0009568987509632,0.0072876888144048
CS20_POA500_PVUSA_W,500,,CS20,0,0,PVUSA,W,YOY,,,-0.0059419729799594,0.0057452481310322
POA50_PR_W,50,,,0,0,PR,W,YOY,,,-0.0115754959396917,0.0112832600697674
PvsPOA_POA100_huld_W,100,,,1,0,huld,W,YOY,,,-0.0092926139458813,0.0057335639738972
POA20_PR_W,20,,,0,0,PR,W,YOY,,,-0.0119051152483793,0.0098041953102276
PvsPOA_CS20_POA200_PVUSA_W,200,,CS20,1,0,PVUSA,W,YOY,,,-0.0093718375157153,0.0041312951283313
PvsPOA_CS20_POA5_PR_W,5,,CS20,1,0,PR,W,YOY,,,-0.0048505231697925,0.0067613593169621
POA50_PI_W,50,,,0,0,PI,W,YOY,,,-0.0079819359226689,0.0052486641227074
PvsPOA_CS20_POA100_PR_W,100,,CS20,1,0,PR,W,YOY,,,-0.0049624096029852,0.0080990413771164
POA100_PI_W,100,,,0,0,PI,W,YOY,,,-0.006620299141362,0.0051042027871885
POA200_huld_W,200,,,0,0,huld,W,YOY,,,-0.0074874776392934,0.0069015692025824
PvsPOA_POA800_PRt_W,800,,,1,0,PRt,W,YOY,,,-0.0051779141323264,0.0076556004925236
CS20_POA200_PVUSA_W,200,,CS20,0,0,PVUSA,W,YOY,,,-0.0125671686187908,0.0072060331220254
CS20_POA5_huld_W,5,,CS20,0,0,huld,W,YOY,,,-0.0065348303382287,0.0110549132296981
PvsPOA_CS20_POA100_huld_W,100,,CS20,1,0,huld,W,YOY,,,-0.0071283034237247,0.0036947738449528
