Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_CS20_POA200_PVUSA_W,200,,CS20,1,0,PVUSA,W,YOY,,,-0.0099062007874491,0.0031115335595575
PvsPOA_CS20_POA5_PR_W,5,,CS20,1,0,PR,W,YOY,,,-0.0108549778030889,0.0030456360861297
POA50_PI_W,50,,,0,0,PI,W,YOY,,,-0.0098881687758103,0.0026621406451068
PvsPOA_CS20_POA100_PR_W,100,,CS20,1,0,PR,W,YOY,,,-0.0104829026361038,0.0034380742321117
POA100_PI_W,100,,,0,0,PI,W,YOY,,,-0.009268043497502,0.0029566635018731
POA200_huld_W,200,,,0,0,huld,W,YOY,,,-0.0077198413665082,0.0039606800458501
PvsPOA_POA800_PRt_W,800,,,1,0,PRt,W,YOY,,,-0.0062098143235692,0.0027620936982393
CS20_POA200_PVUSA_W,200,,CS20,0,0,PVUSA,W,YOY,,,-0.0104059074124235,0.0052178484410288
CS20_POA5_huld_W,5,,CS20,0,0,huld,W,YOY,,,-0.0109250534255549,0.0058292655771312
PvsPOA_CS20_POA100_huld_W,100,,CS20,1,0,huld,W,YOY,,,-0.0075494608467801,0.003519203624314
PvsPOA_CS20_POA0_PRt_W,0,,CS20,1,0,PRt,W,YOY,,,-0.0075999504793686,0.002539464325275
PvsPOA_CS20_POA5_PVUSA_W,5,,CS20,1,0,PVUSA,W,YOY,,,-0.0097830260217671,0.0028306153424666
POA20_PVUSA_W,20,,,0,0,PVUSA,W,YOY,,,-0.0119780642645699,0.0069148513184724
PvsPOA_POA50_huld_W,50,,,1,0,huld,W,YOY,,,-0.0101196822130455,0.0027482251754668
PvsPOA_POA800_P_W,800,,,1,0,P,W,YOY,,,-0.0116423463243037,0.0092790679468941
POA200_PRt_W,200,,,0,0,PRt,W,YOY,,,-0.0084076673194083,0.0024844007190025
PvsPOA_POA800_PR_W,800,,,1,0,PR,W,YOY,,,-0.0081462471311625,0.0033943282786726
CS20_POA50_huld_W,50,,CS20,0,0,huld,W,YOY,,,-0.0091916640010484,0.00525521721962
PvsPOA_POA200_PI_W,200,,,1,0,PI,W,YOY,,,-0.00927584270904,0.0021528169472583
CS20_POA5_P_W,5,,CS20,0,0,P,W,YOY,,,-0.0281540981200184,0.016436251909585
PvsPOA_CS20_POA500_PVUSA_W,500,,CS20,1,0,PVUSA,W,YOY,,,-0.0076565387435357,0.0022677526962403
PvsPOA_POA20_PI_W,20,,,1,0,PI,W,YOY,,,-0.0116088624913094,0.0025975186066486
PvsPOA_CS20_POA100_P_W,100,,CS20,1,0,P,W,YOY,,,-0.0208511334063229,0.0141242042364617
PvsPOA_CS20_POA800_PR_W,800,,CS20,1,0,PR,W,YOY,,,-0.0091694685005434,0.0042510394137503
POA5_PRt_W,5,,,0,0,PRt,W,YOY,,,-0.0096251359686375,0.0028945043723216
CS20_POA50_P_W,50,,CS20,0,0,P,W,YOY,,,-0.029689897745446,0.0163879542659235
PvsPOA_POA100_PR_W,100,,,1,0,PR,W,YOY,,,-0.0107679550217168,0.0042311602204315
PvsPOA_POA500_P_W,500,,,1,0,P,W,YOY,,,-0.0133692266324138,0.0139288347204419
PvsPOA_CS20_POA800_huld_W,800,,CS20,1,0,huld,W,YOY,,,-0.0057988017395821,0.0024485126177898
PvsPOA_CS20_POA100_PVUSA_W,100,,CS20,1,0,PVUSA,W,YOY,,,-0.0104948066958198,0.0031781200610723
PvsPOA_CS20_POA200_PRt_W,200,,CS20,1,0,PRt,W,YOY,,,-0.0082745529570669,0.0017673423830068
PvsPOA_CS20_POA5_P_W,5,,CS20,1,0,P,W,YOY,,,-0.0216876275777174,0.0127144740276902
POA800_huld_W,800,,,0,0,huld,W,YOY,,,-0.0070509270355707,0.0019557255940295
CS20_POA0_PRt_W,0,,CS20,0,0,PRt,W,YOY,,,-0.0068778490441828,0.0037317467988983
PvsPOA_POA500_PR_W,500,,,1,0,PR,W,YOY,,,-0.0088515480091629,0.0050740321530807
PvsPOA_CS20_POA50_PI_W,50,,CS20,1,0,PI,W,YOY,,,-0.0088845040759629,0.0021319555224112
