Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA200_PVUSA_ME,200,,,1,0,PVUSA,ME,YOY,,,-0.0361997532388551,0.0187987848872044
POA0_P_ME,0,,,0,0,P,ME,YOY,,,-0.0056782960891723,0.0341730438816091
POA50_P_ME,50,,,0,0,P,ME,YOY,,,-0.0069811195135116,0.0287302383959619
POA50_PRt_ME,50,,,0,0,PRt,ME,YOY,,,-0.0317815597591504,0.0145252626328191
CS20_POA0_P_ME,0,,CS20,0,0,P,ME,YOY,,,-0.0287352395057678,0.0313788193920271
PvsPOA_CS20_POA0_huld_ME,0,,CS20,1,0,huld,ME,YOY,,,-0.0419089588962617,0.038921269237018
PvsPOA_CS20_POA100_huld_ME,100,,CS20,1,0,huld,ME,YOY,,,-0.0384643077850341,0.0290655041001533
CS20_POA5_PVUSA_ME,5,,CS20,0,0,PVUSA,ME,YOY,,,-0.0334832039687151,0.0277220422452916
POA500_PI_ME,500,,,0,0,PI,ME,YOY,,,-0.0340346097946167,0.0101779210762899
PvsPOA_POA50_PI_ME,50,,,1,0,PI,ME,YOY,,,-0.0284333825111389,0.0191140191965415
PvsPOA_CS20_POA50_PI_ME,50,,CS20,1,0,PI,ME,YOY,,,-0.0381459369034063,0.0180821430683136
PvsPOA_CS20_POA800_PI_ME,800,,CS20,1,0,PI,ME,YOY,,,-0.0336855053901672,0.0164586008897896
CS20_POA5_P_ME,5,,CS20,0,0,P,ME,YOY,,,-0.028775770664215,0.0313793692285897
PvsPOA_POA50_PVUSA_ME,50,,,1,0,PVUSA,ME,YOY,,,-0.0286994411157128,0.0241103040390327
PvsPOA_CS20_POA500_PRt_ME,500,,CS20,1,0,PRt,ME,YOY,,,-0.0334750010016185,0.0082564489111874
CS20_POA800_PRt_ME,800,,CS20,0,0,PRt,ME,YOY,,,-0.0282567845341937,0.014303507782071
POA100_PVUSA_ME,100,,,0,0,PVUSA,ME,YOY,,,-0.0300397872924804,0.0176321910053003
CS20_POA5_PRt_ME,5,,CS20,0,0,PRt,ME,YOY,,,-0.027671414972003,0.0191938515569342
CS20_POA100_PVUSA_ME,100,,CS20,0,0,PVUSA,ME,YOY,,,-0.0325573980808258,0.0251667178719421
PvsPOA_POA5_PR_ME,5,,,1,0,PR,ME,YOY,,,-0.0214636325836181,0.0199891610549447
CS20_POA5_huld_ME,5,,CS20,0,0,huld,ME,YOY,,,-0.0381178209364739,0.0212215284506479
PvsPOA_POA0_PVUSA_ME,0,,,1,0,PVUSA,ME,YOY,,,-0.021874189376831,0.0255683934102292
PvsPOA_POA100_PVUSA_ME,100,,,1,0,PVUSA,ME,YOY,,,-0.0304856405394976,0.0243674024858109
CS20_POA50_P_ME,50,,CS20,0,0,P,ME,YOY,,,-0.0266698229312896,0.0302687994117945
PvsPOA_POA50_huld_ME,50,,,1,0,huld,ME,YOY,,,-0.0242353677749633,0.0224363059619736
PvsPOA_CS20_POA20_PVUSA_ME,20,,CS20,1,0,PVUSA,ME,YOY,,,-0.0364422757443183,0.024244549333072
PvsPOA_CS20_POA0_P_ME,0,,CS20,1,0,P,ME,YOY,,,-0.0283514128519537,0.0256189062947132
CS20_POA20_PVUSA_ME,20,,CS20,0,0,PVUSA,ME,YOY,,,-0.0332597028362295,0.0276478657631274
CS20_POA200_huld_ME,200,,CS20,0,0,huld,ME,YOY,,,-0.0378769562055504,0.0149002874565254
PvsPOA_POA800_PRt_ME,800,,,1,0,PRt,ME,YOY,,,-0.0344540667338449,0.0179041359919667
POA200_huld_ME,200,,,0,0,huld,ME,YOY,,,-0.0322777032852172,0.0127294286678397
POA0_PVUSA_ME,0,,,0,0,PVUSA,ME,YOY,,,-0.0314140319824218,0.0182839690336112
PvsPOA_POA500_P_ME,500,,,1,0,P,ME,YOY,,,-0.016597956418991,0.0102546990080609
PvsPOA_POA500_PI_ME,500,,,1,0,PI,ME,YOY,,,-0.0345555338703218,0.0110896135288509
PvsPOA_CS20_POA200_P_ME,200,,CS20,1,0,P,ME,YOY,,,-0.0341351020857284,0.0248946957900875
PvsPOA_CS20_POA200_PI_ME,200,,CS20,1,0,PI,ME,YOY,,,-0.0416867654831683,0.0143076984283051
POA200_PR_ME,200,,,0,0,PR,ME,YOY,,,-0.022303283214569,0.0113833949702684
PvsPOA_CS20_POA0_PVUSA_ME,0,,CS20,1,0,PVUSA,ME,YOY,,,-0.0367318464270054,0.0243938353218016
POA5_PR_ME,5,,,0,0,PR,ME,YOY,,,-0.0217381119728088,0.0141490185684193
CS20_POA0_PI_ME,0,,CS20,0,0,PI,ME,YOY,,,-0.0275752085968444,0.0186962340373159
PvsPOA_POA20_PRt_ME,20,,,1,0,PRt,ME,YOY,,,-0.0300995111465454,0.0164730310765771
